NCM;Categoria;Descri????o;IPI;In??cio da Vig??ncia;Fim da Vig??ncia;uTrib;Descri????o da uTrib;GTIN Produ????o;GTIN Homologa????o;Observa????o
2042100;CARNES E MIUDEZAS, COMEST??VEIS;02042100 - CARCS.E MEIAS-CARCS.DE OVINOS,FRESC.REFRIG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2042200;CARNES E MIUDEZAS, COMEST??VEIS;02042200 - OUTRAS PE??AS ?? DESOSS.D/OVINOS,FRESC.REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2042300;CARNES E MIUDEZAS, COMEST??VEIS;02042300 - P??S DESOSSADAS D/OVINOS,FRESCAS OU REFRIG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2043000;CARNES E MIUDEZAS, COMEST??VEIS;02043000 - CARCS. E MEIAS-CARCS. DE CORDEIRO,CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2044100;CARNES E MIUDEZAS, COMEST??VEIS;02044100 - CARCS. E MEIAS-CARCS. OUTS.OVINOS,CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2044200;CARNES E MIUDEZAS, COMEST??VEIS;02044200 - OUTS.P??S N??O DESOSS.DE OVINOS,CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2044300;CARNES E MIUDEZAS, COMEST??VEIS;02044300 - PE??AS DESOSSADAS DE OVINOS,CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2045000;CARNES E MIUDEZAS, COMEST??VEIS;02045000 - CARNES DE CAPRINOS,FRESC.,REFRIG.OU CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2050000;CARNES E MIUDEZAS, COMEST??VEIS;02050000 - CARNE CAVALO,ASININA,MUAR,FRESC.REF.,CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2061000;CARNES E MIUDEZAS, COMEST??VEIS;02061000 - MIUDEZAS DE BOVINOS,FRESCAS/REFRIGERADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2062100;CARNES E MIUDEZAS, COMEST??VEIS;02062100 - L??NGUAS DE BOVINOS CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2062200;CARNES E MIUDEZAS, COMEST??VEIS;02062200 - F??GADOS DE BOVINOS CONGELADOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2062910;CARNES E MIUDEZAS, COMEST??VEIS;02062910 - RABOS DE BOVINOS CONGELADOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2062990;CARNES E MIUDEZAS, COMEST??VEIS;02062990 - OUTRAS MIUDEZAS COMEST??VEIS., D/BOVINO,CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2063000;CARNES E MIUDEZAS, COMEST??VEIS;02063000 - MIUDEZAS DA ESP??CIE SU??NA FRESCAS OU REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2064100;CARNES E MIUDEZAS, COMEST??VEIS;02064100 - F??GADOS DE SU??NOS, CONGELADOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2064900;CARNES E MIUDEZAS, COMEST??VEIS;02064900 - OUTRAS MIUDEZAS DE SU??NOS, CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2068000;CARNES E MIUDEZAS, COMEST??VEIS;02068000 - OUTRAS MIUDEZAS FRESCAS OU REFRIGERADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2069000;CARNES E MIUDEZAS, COMEST??VEIS;02069000 - OUTRAS MIUDEZAS CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2071100;CARNES E MIUDEZAS, COMEST??VEIS;02071100 - CARNES GALOS/GALINHAS,?? CORT.,FRESCAS/REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2071200;CARNES E MIUDEZAS, COMEST??VEIS;02071200 - CARNES GALOS/GALINHAS,?? CORT.,CONGELADO;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2071300;CARNES E MIUDEZAS, COMEST??VEIS;02071300 - PEDA??OS/MIUDEZ.,D/GALOS/GALINHAS,FRESC,REF.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2071400;CARNES E MIUDEZAS, COMEST??VEIS;02071400 - PEDA??OS E MIUDEZ.DE GALOS E GALINHAS,CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2072400;CARNES E MIUDEZAS, COMEST??VEIS;02072400 - CARNES DE PERUAS/PERUS, ?? CORT.,FRES/REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2072500;CARNES E MIUDEZAS, COMEST??VEIS;02072500 - CARNES DE PERUS/AS ?? CORT.PEDA??OS, CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2072600;CARNES E MIUDEZAS, COMEST??VEIS;02072600 - CARNES DE PERUAS/US,MIUDEZ.,FRESCOS/REFRIG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2072700;CARNES E MIUDEZAS, COMEST??VEIS;02072700 - CARNES PEDA??OS E MIUDEZ.DE PERUS/AS,CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2074100;CARNES E MIUDEZAS, COMEST??VEIS;02074100 - CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.?? CORT.DE PATOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2074200;CARNES E MIUDEZAS, COMEST??VEIS;02074200 - CARNES E MIUDEZAS COMEST.CONG. ?? CORT.DE PATOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2074300;CARNES E MIUDEZAS, COMEST??VEIS;02074300 - F??GADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE PATOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2074400;CARNES E MIUDEZAS, COMEST??VEIS;02074400 - OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE PATOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2074500;CARNES E MIUDEZAS, COMEST??VEIS;02074500 - OUTRAS CARNES E MIUDEZAS CONGELADAS DE PATOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2075100;CARNES E MIUDEZAS, COMEST??VEIS;02075100 - CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.?? CORT.DE GANSO;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2075200;CARNES E MIUDEZAS, COMEST??VEIS;02075200 - CARNES E MIUDEZAS COMEST.CONG. ?? CORT.DE GANSOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2075300;CARNES E MIUDEZAS, COMEST??VEIS;02075300 - F??GADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE GANSOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2075400;CARNES E MIUDEZAS, COMEST??VEIS;02075400 - OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE GANSOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2075500;CARNES E MIUDEZAS, COMEST??VEIS;02075500 - OUTRAS CARNES E MIUDEZAS CONGELADAS DE GANSOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2076000;CARNES E MIUDEZAS, COMEST??VEIS;02076000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/GALINAS-D'ANGOLA;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2081000;CARNES E MIUDEZAS, COMEST??VEIS;02081000 - CARNES,MIUDEZ.D/COELHO,LEBRE,FR/REFR.CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2083000;CARNES E MIUDEZAS, COMEST??VEIS;02083000 - CARNES,MIUD.COM.D/PRIMATAS FRES.REFR.CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2084000;CARNES E MIUDEZAS, COMEST??VEIS;02084000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/BALEIAS,GOLF.BOT.,;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2085000;CARNES E MIUDEZAS, COMEST??VEIS;02085000 - CARN.MIUD.D/R??PTS,SERP.TART.MAR.FR.REF.CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2086000;CARNES E MIUDEZAS, COMEST??VEIS;02086000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/CAMELOS E OUTROS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2089000;CARNES E MIUDEZAS, COMEST??VEIS;02089000 - OUTRAS CARNES E MIUD.COMEST.FRESCO REFRIG./CONGELADOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2091011;CARNES E MIUDEZAS, COMEST??VEIS;02091011 - TOUCINHO DE PORCO FRESCO, REFRIGERADO/CONGELADO;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2091019;CARNES E MIUDEZAS, COMEST??VEIS;02091019 - TOUCINHO DE PORCO SALGADO,EM SALMOURA,SECO OU DEFUMADO;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2091021;CARNES E MIUDEZAS, COMEST??VEIS;02091021 - GORDURA DE PORCO FRESCA REFRIGERADA OU CONGELADA;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2091029;CARNES E MIUDEZAS, COMEST??VEIS;02091029 - GORDURA DE PORCO SALGADA OU EM SALMOURA, SECA/DEFUMADA;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2099000;CARNES E MIUDEZAS, COMEST??VEIS;02099000 - OUTS.GORD.DE AVES FRESC.REFR.CONG.SALG.SALM.SECOS/DEFUM;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2101100;CARNES E MIUDEZAS, COMEST??VEIS;02101100 - PERNAS,P??S,ETC.?? DESOSS.SU??NOS,SALG.SECAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
